fact_unit,2016-11-10,2017-02-16,2017-05-11,2017-08-11,2017-11-13,2018-02-28,2018-05-10,2018-08-09,2018-11-09,2019-02-22,2019-05-09,2019-08-09,2019-11-08,2020-02-28,2020-05-08,2020-08-07,2020-11-06,2021-02-19,2021-05-10,2021-08-09,2021-11-08,2022-02-16,2022-05-10,2022-08-09,2022-11-09,2023-02-15,2023-05-10,2023-08-09,2023-11-09,2024-02-15,2024-05-10,2024-08-08,2024-11-07,2025-02-21,2025-05-08,2025-08-07,2025-11-06
GeneralAndAdministrativeExpense / USD,8536000.0,9385000.0,6399000.0,12851000.0,21442000.0,13276000.0,15930000.0,27588000.0,41815000.0,32163000.0,19110000.0,38506000.0,59816000.0,58446000.0,33617000.0,65738000.0,102755000.0,84910000.0,38598000.0,74463000.0,117252000.0,143048000.0,51845000.0,103764000.0,155884000.0,171617000.0,125799000.0,260625000.0,391517000.0,374661000.0,130312000.0,256442000.0,388411000.0,525167000.0,129555000.0,265024000.0,403902000.0
HostingArrangementServiceContractImplementationCostCapitalizedAccumulatedAmortization / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000.0,,,
HostingArrangementServiceContractImplementationCostCapitalizedBeforeAccumulatedAmortization / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000000.0,,,
HostingArrangementServiceContractImplementationCostExpenseAmortization / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,,,
HostingArrangementServiceContractImplementationCostImpairment / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
ImpairmentOfLongLivedAssetsHeldForUse / USD,0.0,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest / USD,17183000.0,-943000.0,-1868000.0,11906000.0,20870000.0,29855000.0,1144000.0,19535000.0,35589000.0,43834000.0,9230000.0,34328000.0,56433000.0,63625000.0,5337000.0,38706000.0,62525000.0,105737000.0,10349000.0,-5617000.0,36942000.0,116220000.0,8092000.0,69642000.0,148618000.0,143903000.0,-17334000.0,-15252000.0,15250000.0,122036000.0,-9608000.0,50319000.0,107319000.0,127370000.0,46033000.0,158525000.0,285703000.0
IncomeTaxExpenseBenefit / USD,6904000.0,-948000.0,-828000.0,5348000.0,10668000.0,13926000.0,-3765000.0,-4223000.0,1602000.0,23352000.0,160000.0,5915000.0,7728000.0,12827000.0,-4814000.0,755000.0,5152000.0,17597000.0,-13708000.0,-54785000.0,-53473000.0,7902000.0,-14550000.0,-697000.0,18895000.0,-98414000.0,-2736000.0,18419000.0,33052000.0,-15726000.0,-18934000.0,8054000.0,25702000.0,73985000.0,14373000.0,41836000.0,74856000.0
IncomeTaxesPaidNet / USD,8342000.0,150000.0,,,,12931000.0,,,,16740000.0,,,,19163000.0,,,,17287000.0,,,,19727000.0,,,,4983000.0,,,,3608000.0,,,,4211000.0,,,
IncreaseDecreaseInAccountsPayable / USD,10749000.0,35706000.0,-6505000.0,55383000.0,94352000.0,50021000.0,-87940000.0,-28527000.0,51855000.0,209483000.0,-49698000.0,11220000.0,-2804000.0,171793000.0,-138886000.0,-28952000.0,-21401000.0,177675000.0,-205967000.0,-214396000.0,47728000.0,191763000.0,-200578000.0,-133510000.0,-44105000.0,481313000.0,-245937000.0,-129853000.0,-68758000.0,309410000.0,-200701000.0,50995000.0,125661000.0,187119000.0,-220196000.0,-13247000.0,87175000.0
