fact_unit,2020-05-07,2020-05-12,2020-08-12,2020-11-10,2021-03-01,2021-04-30,2021-05-10,2021-08-09,2021-11-08,2022-02-28,2022-04-29,2022-05-09,2022-08-08,2022-11-07,2023-02-27,2023-04-28,2023-05-08,2023-08-07,2023-11-08,2024-02-28,2024-04-26,2024-05-09,2024-08-08,2024-11-07,2025-02-27,2025-04-30,2025-05-08,2025-08-07,2025-11-06
EarningsPerShareDiluted / USD/shares,,,,,0.68,,0.04,0.12,0.48,0.03,,-0.86,-1.09,-0.83,-1.11,,0.33,0.59,0.88,-1.05,,0.19,0.41,0.68,1.71,,0.09,-0.18,-0.1
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,0.0,0.0,0.0,0.0,,,-23900000.0,-7800000.0,14000000.0,,,-22200000.0,-13300000.0,-20600000.0,33800000.0,,-11400000.0,-40200000.0,-54500000.0,-30900000.0,,1200000.0,-12900000.0,-15200000.0,-38900000.0,,-12400000.0,-16800000.0,7100000.0
EffectiveIncomeTaxRateContinuingOperations / pure,,,,,-0.181,,,,,0.891,,,,,0.071,,,,,-0.91,,,,,0.261,,,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,,,,,0.19,,,,,0.19,,,,,0.21,,,,,0.21,,,,,0.21,,,,
EffectiveIncomeTaxRateReconciliationGiltiPercent / pure,,,,,,,,,,,,,,,0.036,,,,,0.369,,,,,-0.02,,,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpense / pure,,,,,0.0,,,,,0.077,,,,,-0.355,,,,,-1.097,,,,,-0.067,,,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseImpairmentLosses / pure,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.065,,,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseRestructuringCharges / pure,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,
EmployeeRelatedLiabilitiesCurrent / USD,,,,,467100000.0,,828200000.0,828200000.0,828200000.0,828200000.0,,741900000.0,741900000.0,741900000.0,741900000.0,,746800000.0,746800000.0,746800000.0,746800000.0,,844500000.0,844500000.0,844500000.0,844500000.0,,729300000.0,729300000.0,729300000.0
EntityCommonStockSharesOutstanding / shares,100.0,100.0,100.0,100.0,1207082624.0,1208643411.0,1208655503.0,1209290460.0,1209393416.0,1209576280.0,1212301241.0,1212326908.0,1212580940.0,1212684598.0,1196813959.0,1199008181.0,1199029984.0,1199532495.0,1199671000.0,1187569149.0,1190662399.0,1190675819.0,1193520463.0,1193592902.0,1193688749.0,1185856452.0,1173681964.0,1165872127.0,1151769872.0
EntityPublicFloat / USD,0.0,,,,0.0,0.0,,,,17237737213.0,17237737213.0,,,,12662127991.0,12662127991.0,,,,11936712582.0,11936712582.0,,,,12661582065.0,12661582065.0,,,
EquitySecuritiesFvNiCurrentAndNoncurrent / USD,,,,,,,,,,45800000.0,,,,,51000000.0,,,,,42600000.0,,,,,49300000.0,,,,
