fact_unit,2018-08-30,2019-08-23,2020-08-14,2021-08-13,2022-08-19,2022-11-04,2023-02-03,2023-05-05,2023-08-18,2023-11-03,2024-02-02,2024-04-26,2024-08-16,2024-11-01,2025-01-31,2025-05-02,2025-08-15,2025-10-31
IncomeTaxesPaidNet / USD,,,,,,11330000.0,53941000.0,59250000.0,50272000.0,29220000.0,,,66648000.0,,,,102156000.0,
IncreaseDecreaseInAccountsPayable / USD,,,,,,10223000.0,20507000.0,25655000.0,10441000.0,31147000.0,49734000.0,22034000.0,31741000.0,-33025000.0,623000.0,28850000.0,78902000.0,-10144000.0
IncreaseDecreaseInAccountsReceivable / USD,,,,,,13211000.0,68203000.0,83183000.0,61256000.0,-61314000.0,46491000.0,38031000.0,134764000.0,-109488000.0,46675000.0,166494000.0,169526000.0,-144030000.0
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities / USD,,,,,,-84406000.0,-63287000.0,1246000.0,76090000.0,-108443000.0,-50183000.0,81055000.0,93250000.0,-71331000.0,-12191000.0,54958000.0,74611000.0,-108168000.0
IncreaseDecreaseInContractWithCustomerLiability / USD,,,,,,13455000.0,77884000.0,194343000.0,294371000.0,-9845000.0,91401000.0,215037000.0,284937000.0,-44398000.0,91454000.0,393135000.0,362799000.0,-101916000.0
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets / USD,,,,,,21185000.0,25082000.0,36455000.0,10054000.0,22677000.0,25367000.0,40530000.0,21927000.0,23056000.0,23542000.0,59528000.0,38230000.0,39914000.0
IntangibleAssetsNetExcludingGoodwill / USD,,,,,,100840000.0,100840000.0,100840000.0,100840000.0,69072000.0,69072000.0,69072000.0,69072000.0,299057000.0,299057000.0,299057000.0,299057000.0,244840000.0
InterestExpense / USD,,,,,,11518000.0,32540000.0,36699000.0,92586000.0,6121000.0,13629000.0,21607000.0,,8976000.0,,,,
InterestExpenseNonoperating / USD,,,,,,,,,,,,,41466000.0,,17977000.0,26430000.0,30147000.0,7318000.0
InterestPaidNet / USD,,,,,,1199000.0,4802000.0,8844000.0,6498000.0,5575000.0,,,10027000.0,,,,46247000.0,
InvestmentIncomeInterest / USD,,,,,,277000.0,351000.0,956000.0,7158000.0,5143000.0,14106000.0,29153000.0,2284000.0,25226000.0,47819000.0,69233000.0,49732000.0,28564000.0
LeaseCost / USD,,,,,,11749000.0,24683000.0,37294000.0,56803000.0,,,,61724000.0,,,,63228000.0,
LesseeOperatingLeaseLiabilityPaymentsDue / USD,,,,,,344590000.0,334390000.0,318917000.0,309868000.0,,,,286322000.0,,,,272115000.0,
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive / USD,,,,,,,,,90870000.0,,,,53285000.0,,,,38743000.0,
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,,,,,50573000.0,51351000.0,51009000.0,51479000.0,,,,55735000.0,,,,57056000.0,
LesseeOperatingLeaseLiabilityPaymentsDueYearFive / USD,,,,,,,,,38601000.0,,,,38436000.0,,,,16188000.0,
LesseeOperatingLeaseLiabilityPaymentsDueYearFour / USD,,,,,,36755000.0,36755000.0,36755000.0,37534000.0,,,,38875000.0,,,,46237000.0,
LesseeOperatingLeaseLiabilityPaymentsDueYearThree / USD,,,,,,41435000.0,41710000.0,41613000.0,42306000.0,,,,49489000.0,,,,56667000.0,
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo / USD,,,,,,48036000.0,48701000.0,48484000.0,49078000.0,,,,50502000.0,,,,57224000.0,
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount / USD,,,,,,31857000.0,30078000.0,28257000.0,27103000.0,,,,22895000.0,,,,20468000.0,
Liabilities / USD,389810000.0,1514508000.0,2411791000.0,3318766000.0,2650430000.0,2999458000.0,2999458000.0,2999458000.0,2999458000.0,3452107000.0,3452107000.0,3452107000.0,3452107000.0,4179282000.0,4179282000.0,4179282000.0,4179282000.0,4696316000.0
LiabilitiesAndStockholdersEquity / USD,,,,,,3326830000.0,3326830000.0,3326830000.0,3326830000.0,4106779000.0,4106779000.0,4106779000.0,4106779000.0,5212133000.0,5212133000.0,5212133000.0,5212133000.0,6041970000.0
LiabilitiesCurrent / USD,,,,,,1594056000.0,1594056000.0,1594056000.0,1594056000.0,2027590000.0,2027590000.0,2027590000.0,2027590000.0,2610126000.0,2610126000.0,2610126000.0,2610126000.0,3180859000.0
LongTermDebtNoncurrent / USD,,,,,,,,999419000.0,999419000.0,962093000.0,962093000.0,962093000.0,962093000.0,985911000.0,985911000.0,985911000.0,985911000.0,987684000.0
LongTermPurchaseCommitmentAmount / USD,,,,,,,1900000000.0,1900000000.0,,,,,,,157300000.0,157300000.0,,
LossContingencyPendingClaimsNumber / claim,,,,,,,,,,3.0,3.0,3.0,,3.0,,,,
MarketableSecuritiesCurrent / USD,,,,,,73294000.0,73294000.0,73294000.0,73294000.0,10000000.0,10000000.0,10000000.0,10000000.0,161973000.0,161973000.0,161973000.0,161973000.0,424268000.0
NetCashProvidedByUsedInDiscontinuedOperations / USD,,,,,,502000.0,4684000.0,4960000.0,9317000.0,602000.0,602000.0,602000.0,-6616000.0,,,,-602000.0,
NetCashProvidedByUsedInFinancingActivities / USD,,,,,,366669000.0,-413184000.0,-403659000.0,-1603433000.0,1396000.0,1396000.0,-30350000.0,-399280000.0,-65879000.0,-180152000.0,-228029000.0,-148421000.0,-186753000.0
NetCashProvidedByUsedInInvestingActivities / USD,,,,,,158127000.0,108445000.0,59614000.0,259262000.0,-6238000.0,7735000.0,22302000.0,36516000.0,-56903000.0,-919333000.0,-945647000.0,-1258000.0,-18690000.0
